id,label,probability
100167480,1,0.9996778
162710660,1,0.9995266
4436962264,1,0.9995162
5728197485,1,0.99943763
8550761069,1,0.9994297
12454037345,1,0.9994055
2212959658,1,0.9993868
177378324,1,0.9993558
176993266,1,0.99934655
2538518632,1,0.99932253
6768728259,1,0.9993003
451583362,1,0.9992526
535439814,1,0.99924743
883708887,1,0.9992465
2856170843,1,0.99923515
6738550643,1,0.9992324
8313688660,1,0.9991968
7896552942,1,0.9991962
624050167,1,0.9991773
8738468447,1,0.99917567
2861309138,1,0.99917567
11546371716,1,0.999163
2793182010,1,0.99914944
5362579427,1,0.9991433
865791869,1,0.9991332
7881593082,1,0.99909556
2252399391,1,0.9990821
8659894365,1,0.9990721
3945816074,1,0.9990692
520466994,1,0.9990656
236517684,1,0.9990632
7700255050,1,0.9990516
1969485058,1,0.99903786
1860609984,1,0.99901307
2522790802,1,0.998978
2126415844,1,0.99897325
2085303614,1,0.9989627
121535544,1,0.9989616
2590812362,1,0.99896127
30442223,1,0.9989538
5499909642,1,0.99894845
858170477,1,0.99893016
6147182985,1,0.9989287
5140748666,1,0.99892503
2543716191,1,0.9989107
5281167448,1,0.9989047
2781885146,1,0.99888486
2837466299,1,0.99888307
2235633397,1,0.9988817
2349245609,1,0.9988631
864625742,1,0.9988574
2406862400,1,0.9988572
2537336862,1,0.9988562
147990016,1,0.9988515
11776423504,1,0.9988394
2861586172,1,0.99883735
82863522,1,0.9988228
3660419444,1,0.99881804
6090316886,1,0.99881124
2208591315,1,0.9987753
167773656,1,0.9987627
2526948791,1,0.9987527
177281688,1,0.9987216
632274761,1,0.9987186
4383845757,1,0.9987155
874727201,1,0.99869794
7343264988,1,0.9986968
3209681443,1,0.9986966
5515698182,1,0.99869287
8935697953,1,0.9986845
4963977748,1,0.99867237
17027983,1,0.99866945
2196780786,1,0.99866426
566223428,1,0.99863213
8142265785,1,0.99862796
4298734272,1,0.99862754
4010194750,1,0.9986183
6310531921,1,0.99861544
11996115615,1,0.9986137
5386398797,1,0.9986063
4812816493,1,0.9986051
4674680202,1,0.9985989
443581119,1,0.9985593
2558198717,1,0.9985589
200350694,1,0.9985393
9248567735,1,0.9985342
8023108474,1,0.9985167
6732425271,1,0.9985075
2704297494,1,0.99850667
2357935319,1,0.9984808
11605510206,1,0.9984639
306748099,1,0.9984501
112732902,1,0.99844295
677074862,1,0.9984425
6090015699,1,0.9984379
2167783620,1,0.9984218
11579715233,1,0.99841404
637687254,1,0.99840415
9256600593,1,0.9983969
875500276,1,0.9983859
8663511358,1,0.9983732
2427892507,1,0.99835825
27214444,1,0.9983503
4451738770,1,0.99833286
6096784665,1,0.99832
4311352333,1,0.9983139
4569000879,1,0.99830353
12031205596,1,0.99827754
4480283815,1,0.99825275
3099672255,1,0.99824524
5354317202,1,0.99821985
4819212386,1,0.99821883
22658896,1,0.99819624
1798488338,1,0.99818516
6027096033,1,0.9981677
12555494373,1,0.99814856
5860496813,1,0.9981451
185920380,1,0.9981449
3778417632,1,0.9980987
6089463475,1,0.9980632
187282603,1,0.99805987
5526920763,1,0.99805295
4451599815,1,0.9980377
9473154506,1,0.9980238
81158046,1,0.9979941
580798350,1,0.99795306
4128337134,1,0.9979474
5018364823,1,0.99793625
5043856914,1,0.9979328
13623857833,1,0.99791586
6897677107,1,0.9979075
11721195116,1,0.9978938
2410901351,1,0.99786854
4483253746,1,0.9978261
4894350736,1,0.9978237
408961862,1,0.9978183
6107607570,1,0.9978055
12418619723,1,0.9977969
7522295520,1,0.99779236
6878034775,1,0.99779034
55038428,1,0.9977875
6117833575,1,0.9977766
8615843111,1,0.99777204
2259890887,1,0.99776554
1732839290,1,0.997749
3483809003,1,0.99774516
2835066399,1,0.997729
8967592409,1,0.9977277
2525935565,1,0.9976786
12408115134,1,0.99766445
5265682813,1,0.99766123
350857957,1,0.99765235
5727463651,1,0.9976448
12880865243,1,0.99762887
2052048946,1,0.99761426
4997912883,1,0.9976001
3419872606,1,0.99758685
2558229298,1,0.99758685
4475548003,1,0.9975735
4080365286,1,0.9975647
2465660060,1,0.99755466
5326584159,1,0.99754316
2831987669,1,0.99753636
2181852626,1,0.99751407
6094904801,1,0.9974888
2859555318,1,0.9974758
8023349028,1,0.99747485
5928441261,1,0.9974656
3350904458,1,0.99746406
312952874,1,0.99741495
7752338068,1,0.99738073
4694943122,1,0.99737966
27920338,1,0.9973596
6088663327,1,0.99734706
195037136,1,0.99730957
18968341,1,0.9973078
908863555,1,0.9972967
8803371113,1,0.99728215
705040451,1,0.99726284
8336508919,1,0.9972235
4945787026,1,0.9972199
4395811067,1,0.9972103
281625939,1,0.9971775
9456505488,1,0.9971555
5667090339,1,0.99715173
5345617350,1,0.9971321
193916669,1,0.99712455
7749194884,1,0.99707764
10508574546,1,0.99706304
3023222571,1,0.9970462
2890375877,1,0.997046
5380580535,1,0.99701136
5345676438,1,0.99700373
7394211606,1,0.9969753
8139720547,1,0.99694455
1345486634,1,0.9969333
5379025966,1,0.9969128
4439006117,1,0.9969122
1214502608,1,0.99690306
2577133904,1,0.9968713
6289173040,1,0.996868
8217665721,1,0.9968605
12405586424,1,0.99685305
421369042,1,0.99684477
2346737794,1,0.9968392
2558696930,1,0.9968025
2577271009,1,0.99679506
13507716275,1,0.99674034
6089379814,1,0.9967061
7896339386,1,0.99668586
5400123029,1,0.99666196
181423070,1,0.9966301
3108806888,1,0.9966079
3464634242,1,0.9965898
9143565022,1,0.9965526
6095358912,1,0.99655044
2651432842,1,0.99653167
166440472,1,0.9965051
2835287487,1,0.99648225
7538996562,1,0.99648225
5644080042,1,0.9963466
137775103,1,0.99623597
4466692982,1,0.996199
3843337492,1,0.9961182
4124534151,1,0.9961096
6092953629,1,0.99608344
9112466398,1,0.9960141
4434382684,1,0.995893
6427755963,1,0.9958887
6097727997,1,0.9958498
6128273351,1,0.9958297
2206536023,1,0.99575865
3186045330,1,0.99575746
2469364254,1,0.9957221
2644543728,1,0.99557877
13536350813,1,0.9955427
2852596229,1,0.9955352
4761285567,1,0.9954969
4683003643,1,0.9953888
5894795392,1,0.9952364
3414017387,1,0.9952005
5225896618,1,0.99513054
504072673,1,0.9951183
6119653033,1,0.99510765
104880527,1,0.99507123
6095399432,1,0.9950143
1936138732,1,0.9949579
293327826,1,0.9948702
442496571,1,0.99478847
5705255339,1,0.9947108
178489036,1,0.9944893
2818152442,1,0.99448586
423373303,1,0.99437267
4680097118,1,0.9943547
898039559,1,0.9943239
5395604269,1,0.9942624
2273839518,1,0.99421203
2372892853,1,0.9941104
3451240288,1,0.99409544
9098913547,1,0.99404633
6999700074,1,0.9940154
5661921123,1,0.9939539
411749160,1,0.9939129
8223897954,1,0.99387056
292542793,1,0.9938017
3113501401,1,0.99373513
13221954383,1,0.9935936
125454041,1,0.99355996
5621814180,1,0.99353945
12363296613,1,0.993539
2576856804,1,0.99344695
4571304478,1,0.99329776
290710708,1,0.9932505
2314534866,1,0.9931098
35707817,1,0.99303377
2156373413,1,0.99294966
8935199183,1,0.9929466
2576158834,1,0.99288005
306597458,1,0.9927362
2579884826,1,0.9924057
5704597466,1,0.9922779
1258831161,1,0.9921055
6320342095,1,0.99209833
11565934865,1,0.992092
7074037045,1,0.9920659
5898494540,1,0.9919534
4693235612,1,0.99193585
8238292577,1,0.99189246
7408992520,1,0.99184287
6093233726,1,0.9916581
5847540163,1,0.99153376
5610665008,1,0.9913994
625312604,1,0.99135226
4570702007,1,0.99134934
2561435297,1,0.9912816
448611645,1,0.99125975
5673150904,1,0.9910596
5911665149,1,0.9908794
4268228292,1,0.99081165
379422446,1,0.99039686
8757799996,1,0.9903261
7206091,1,0.99014264
2366204054,1,0.9900783
2561919564,1,0.9898551
5805351998,1,0.9896122
2456450753,1,0.9895338
5748242599,1,0.9894489
3895135481,1,0.9894314
6333475780,1,0.98932123
2141720577,1,0.98912656
8835385027,1,0.9890854
1856493172,1,0.9888295
7017589053,1,0.9887668
3951602623,1,0.98865783
4375033873,1,0.98849094
6808482052,1,0.98826426
4398606501,1,0.98819035
3484427649,1,0.98810387
4072279718,1,0.98799765
5245195799,1,0.9879278
278947820,1,0.9875371
5907265791,1,0.98742294
5680076390,1,0.987141
494347151,1,0.9864194
12571750463,1,0.9863968
8962494037,1,0.9863874
2095745906,1,0.9862541
123727141,1,0.9860627
4963892596,1,0.9860622
147110006,1,0.9859519
4577530549,1,0.98592484
6127133420,1,0.98533976
2919093163,1,0.98499393
4707261959,1,0.984645
4893025939,1,0.9845495
5674475470,1,0.9842094
5420835045,1,0.9840194
6937496487,1,0.9839328
2084551656,1,0.983271
12599699673,1,0.9829136
4985229030,1,0.98278487
8221101614,1,0.9825816
8327613326,1,0.98253286
1069373910,1,0.9824976
3272649154,1,0.98199815
4139837007,1,0.98169386
178630039,1,0.98153466
2874604968,1,0.98064816
4294049569,1,0.9806131
5414635746,1,0.9805814
6096883475,1,0.9805228
1342834349,1,0.98031074
57414875,1,0.9801108
4846613603,1,0.9798667
5990156133,1,0.9784816
